issue_date,province_id,lead,probability,base_rate,y_obs
2024-01-30,1,2,0.281011,0.116942,0.0
2024-01-30,1,3,0.338683,0.117017,0.0
2024-01-30,1,4,0.307449,0.117092,0.0
2024-01-30,1,5,0.324606,0.116618,0.0
2024-01-30,1,6,0.366368,0.116051,0.0
2024-01-31,1,2,0.289775,0.116942,0.0
2024-01-31,1,3,0.345238,0.117017,0.0
2024-01-31,1,4,0.313498,0.117092,0.0
2024-01-31,1,5,0.334286,0.116618,0.0
2024-01-31,1,6,0.367288,0.116051,0.0
2024-02-01,1,2,0.272796,0.116942,0.0
2024-02-01,1,3,0.321501,0.117017,0.0
2024-02-01,1,4,0.289708,0.117092,0.0
2024-02-01,1,5,0.303379,0.116618,0.0
2024-02-01,1,6,0.339892,0.116051,0.0
2024-02-02,1,2,0.287906,0.116942,0.0
2024-02-02,1,3,0.329428,0.117017,0.0
2024-02-02,1,4,0.30503,0.117092,0.0
2024-02-02,1,5,0.320339,0.116618,0.0
2024-02-02,1,6,0.353766,0.116051,0.0
2024-02-03,1,2,0.292416,0.116942,0.0
2024-02-03,1,3,0.33012,0.117017,0.0
2024-02-03,1,4,0.311389,0.117092,0.0
2024-02-03,1,5,0.324083,0.116618,0.0
2024-02-03,1,6,0.362579,0.116051,0.0
2024-02-04,1,2,0.340297,0.116942,0.0
2024-02-04,1,3,0.383521,0.117017,0.0
2024-02-04,1,4,0.363398,0.117092,0.0
2024-02-04,1,5,0.377768,0.116618,0.0
2024-02-04,1,6,0.4014,0.116051,0.0
2024-02-05,1,2,0.385067,0.116942,0.0
2024-02-05,1,3,0.434352,0.117017,0.0
2024-02-05,1,4,0.410084,0.117092,0.0
2024-02-05,1,5,0.420488,0.116618,0.0
2024-02-05,1,6,0.435992,0.116051,0.0
2024-02-06,1,2,0.391148,0.116942,0.0
2024-02-06,1,3,0.424431,0.117017,0.0
2024-02-06,1,4,0.377895,0.117092,0.0
2024-02-06,1,5,0.376697,0.116618,0.0
2024-02-06,1,6,0.389993,0.116051,0.0
2024-02-07,1,2,0.411741,0.116942,0.0
2024-02-07,1,3,0.465451,0.117017,0.0
2024-02-07,1,4,0.464343,0.117092,0.0
2024-02-07,1,5,0.443333,0.116618,0.0
2024-02-07,1,6,0.4451,0.116051,0.0
2024-02-08,1,2,0.439708,0.116942,0.0
2024-02-08,1,3,0.511906,0.117017,0.0
2024-02-08,1,4,0.531876,0.117092,0.0
2024-02-08,1,5,0.508117,0.116618,0.0
2024-02-08,1,6,0.518771,0.116051,0.0
2024-02-09,1,2,0.467775,0.116942,0.0
2024-02-09,1,3,0.510186,0.117017,0.0
2024-02-09,1,4,0.502732,0.117092,0.0
2024-02-09,1,5,0.488475,0.116618,0.0
2024-02-09,1,6,0.514996,0.116051,0.0
2024-02-10,1,2,0.452015,0.116942,0.0
2024-02-10,1,3,0.503043,0.117017,0.0
2024-02-10,1,4,0.501068,0.117092,0.0
2024-02-10,1,5,0.492747,0.116618,0.0
2024-02-10,1,6,0.518888,0.116051,0.0
2024-02-11,1,2,0.39451,0.116942,0.0
2024-02-11,1,3,0.445312,0.117017,0.0
2024-02-11,1,4,0.437749,0.117092,0.0
2024-02-11,1,5,0.428649,0.116618,0.0
2024-02-11,1,6,0.473222,0.116051,0.0
2024-02-12,1,2,0.350322,0.116942,0.0
2024-02-12,1,3,0.392106,0.117017,0.0
2024-02-12,1,4,0.385347,0.117092,0.0
2024-02-12,1,5,0.378788,0.116618,0.0
2024-02-12,1,6,0.431573,0.116051,0.0
2024-02-13,1,2,0.324591,0.116942,0.0
2024-02-13,1,3,0.358846,0.117017,0.0
2024-02-13,1,4,0.346103,0.117092,0.0
2024-02-13,1,5,0.357033,0.116618,0.0
2024-02-13,1,6,0.391377,0.116051,0.0
2024-02-14,1,2,0.332756,0.116942,0.0
2024-02-14,1,3,0.370329,0.117017,0.0
2024-02-14,1,4,0.352635,0.117092,0.0
2024-02-14,1,5,0.371632,0.116618,0.0
2024-02-14,1,6,0.395833,0.116051,0.0
2024-02-15,1,2,0.3723,0.116942,0.0
2024-02-15,1,3,0.406442,0.117017,0.0
2024-02-15,1,4,0.393104,0.117092,0.0
2024-02-15,1,5,0.405095,0.116618,0.0
2024-02-15,1,6,0.426671,0.116051,0.0
2024-02-16,1,2,0.366214,0.116942,0.0
2024-02-16,1,3,0.391045,0.117017,0.0
2024-02-16,1,4,0.384978,0.117092,0.0
